1000 4
0.640134	0.195140	0.427479	0.563336	
0.405407	0.650250	0.527893	0.562827	
0.656718	0.289165	0.680191	0.085982	
0.837969	0.247317	0.665393	0.192125	
0.345195	0.069087	0.500318	0.858003	
0.943623	0.376331	0.499638	0.090927	
0.363626	0.462693	0.381681	0.271118	
0.160237	0.402996	0.562906	0.872747	
0.261712	0.548973	0.716916	0.597285	
0.278988	0.792129	0.528658	0.439241	
0.842502	0.321381	0.594161	0.328219	
0.188809	0.465773	0.818260	0.694607	
0.321601	0.485347	0.777303	0.465724	
0.346710	0.478357	0.626612	0.559392	
0.469561	0.928104	0.402899	0.342903	
0.295463	0.553399	0.802430	0.531697	
0.485097	0.419000	0.771404	0.544704	
0.430923	0.187785	0.580871	0.467753	
0.422770	0.786865	0.518646	0.373006	
0.702296	0.596383	0.076777	0.747313	
0.465309	0.489693	0.159192	0.815431	
0.742625	0.422344	0.194144	0.472838	
0.308042	0.876201	0.154062	0.736989	
0.452702	0.288265	0.466707	0.734964	
0.442774	0.856845	0.450157	0.521594	
0.904975	0.263250	0.385054	0.488293	
0.129489	0.800947	0.233514	0.610745	
0.470298	0.751819	0.141291	0.685690	
0.275146	0.206975	0.939616	0.723779	
0.504247	0.585876	0.628950	0.470616	
0.614729	0.659569	0.256474	0.699207	
0.869271	0.253475	0.401705	0.164024	
0.409950	0.380721	0.484482	0.645022	
0.385088	0.728618	0.232845	0.538503	
0.841874	0.285722	0.489569	0.532337	
0.446671	0.267163	0.534377	0.805771	
0.793699	0.826800	0.092213	0.422105	
0.387412	0.499655	0.844927	0.522958	
0.614098	0.248693	0.257933	0.806628	
0.409298	0.192382	0.657909	0.764264	
0.564393	0.483192	0.329722	0.455289	
0.712886	0.230518	0.325252	0.870301	
0.328711	0.691425	0.240329	0.587884	
0.838403	0.486497	0.387615	0.282752	
0.462008	0.921666	0.234747	0.247516	
0.577016	0.810396	0.170742	0.442383	
0.384234	0.641545	0.547527	0.812960	
0.921598	0.600709	0.087460	0.426534	
0.724031	0.395207	0.763938	0.134502	
0.300415	0.375715	0.618397	0.769115	
0.460268	0.497717	0.486645	0.480892	
0.511684	0.901868	0.088021	0.382942	
0.664915	0.167072	0.554499	0.774175	
0.277582	0.880610	0.268644	0.692260	
0.411812	0.646715	0.294050	0.656368	
0.634407	0.545598	0.459968	0.547808	
0.516044	0.939531	0.300589	0.772710	
0.925794	0.424018	0.723520	0.133713	
0.942517	0.559369	0.606745	0.052370	
0.532785	0.117273	0.592573	0.794885	
0.402199	0.128755	0.607114	0.882441	
0.586335	0.402436	0.510218	0.729681	
0.352765	0.446994	0.377106	0.621264	
0.150124	0.711914	0.532901	0.518956	
0.314304	0.141201	0.882410	0.816178	
0.903881	0.456152	0.537992	0.220764	
0.344606	0.789047	0.119529	0.569063	
0.303174	0.626023	0.679900	0.346195	
